id,message
MSG-0001,Saving takes ages compared to last week - it eventually completes but very slowly.
MSG-0002,Can you tell me how to archive an old workspace rather than delete it?
MSG-0003,"How do I set up a recurring report - I think the feature exists, I just cannot find it?"
MSG-0004,I need to reset my password but the 'forgot password' link is missing from the login page.
MSG-0005,My two-factor code is not arriving by SMS so I cannot complete login.
MSG-0006,The dashboard renders the totals as NaN instead of the real numbers.
MSG-0007,I was promised a discount that is not reflected on my invoice.
MSG-0008,My reports are extremely slow and meanwhile I noticed an unfamiliar device on my account.
MSG-0009,"The dashboard hangs for 30 to 40 seconds before anything appears, then it works."
MSG-0010,Can you switch our billing from monthly to annual and adjust the invoice?
MSG-0011,Everything lags badly in the afternoon - clicks take seconds to register.
MSG-0012,I was promised a discount that is not reflected on my invoice.
MSG-0013,I received an email asking me to confirm my password by clicking a link - it looks like phishing.
MSG-0014,Can you add a Spanish language option? The product is English only at the moment.
MSG-0015,The example in the tutorial does not match what the product actually shows on screen.
MSG-0016,How do I connect the Initech account to the mobile app?
MSG-0017,The app throws 'undefined is not a function' when I open the reports tab.
MSG-0018,Everything errors out with 'server unavailable' since this morning.
MSG-0019,Our API key got committed to a public repo by mistake and may be leaked - what do we do?
MSG-0020,I need to update the credit card on file for the Initech account billing.
MSG-0021,I cannot log in - the page just reloads to the sign-in screen with no error.
MSG-0022,The API reference is missing the parameters for the create-stream call entirely.
MSG-0023,How do I move a record from one project to another?
MSG-0024,Can you tell me how to archive an old workspace rather than delete it?
MSG-0025,My account is locked and the support article on unlocking does not help me get in.
MSG-0026,The password reset feature is completely broken - it errors for everyone in our team.
MSG-0027,It would be great if we could schedule reports to email automatically. Please support this.
MSG-0028,There is no way to export to PDF right now - can you add that?
MSG-0029,"The Acme workspace crawls during peak hours - heavy lag, no crash."
MSG-0030,The API reference is missing the parameters for the create-stream call entirely.
MSG-0031,Can you switch our billing from monthly to annual and adjust the invoice?
MSG-0032,The search box returns results for a query I did not type.
MSG-0033,Where do I find my API key in the settings?
MSG-0034,Saving takes ages compared to last week - it eventually completes but very slowly.
MSG-0035,The app is laggy and also the Settings docs are outdated.
MSG-0036,I changed my email and now cannot sign in with either the old or new address.
MSG-0037,The export button does nothing and the docs say it should be under Tools.
MSG-0038,The billing page shows error 500 whenever I open it.
MSG-0039,I am locked out after too many failed attempts and the unlock link does not work.
MSG-0040,I just got an alert about a login from a device I do not recognise - I think someone else is in my account.
MSG-0041,"The reports page takes over a minute to load lately, no error, it is just very slow."
MSG-0042,"Loading a large project times out because it is so slow, no error code shown."
MSG-0043,"The page is sluggish and scrolling stutters, though nothing actually errors."
MSG-0044,Please give us role-based permissions - right now everyone has the same access.
MSG-0045,Numbers in the chart do not match the numbers in the table for the same period.
MSG-0046,How do I move a record from one project to another?
MSG-0047,What is the way to rename a project?
MSG-0048,The login page is broken AND I think a stranger accessed my account yesterday.
MSG-0049,How do I share a read-only link to a dashboard?
MSG-0050,There is no bulk-delete and it would really help - can you add it?
MSG-0051,I cannot log in and I got an email saying my password was changed by someone else.
MSG-0052,"It would help if the calendar supported recurring events, which it currently cannot do."
