txn_id,entity,department,project_code,category,currency,amount,status,date
TX1001,Northwind,engineering,ENG-API,travel,USD,50.0,approved,2026-01-01
TX1002,Globex,marketing,MKT-PERF,software,EUR,87.13,approved,2026-02-02
TX1003,Acme,operations,OPS-WARE,hardware,GBP,124.26,approved,2026-03-03
TX1004,Initech,research,RES-LABS,services,AUD,161.39,approved,2026-04-04
TX1005,Umbra,engineering,ENG-WEB,supplies,USD,198.52,approved,2026-05-05
TX1006,Cardinal,marketing,MKT-PERF,travel,EUR,235.65,pending,2026-06-06
TX1007,Northwind,operations,OPS-WARE,software,GBP,272.78,rejected,2026-01-07
TX1008,Globex,research,RES-LABS,hardware,AUD,309.91,approved,2026-02-08
TX1009,Acme,engineering,ENG-DATA,services,USD,347.04,approved,2026-03-09
TX1010,Initech,marketing,MKT-PERF,supplies,EUR,384.17,approved,2026-04-10
TX1011,Umbra,operations,OPS-WARE,travel,GBP,421.3,approved,2026-05-11
TX1012,Cardinal,research,RES-LABS,software,AUD,458.43,approved,2026-06-12
TX9001,Globex,engineering,ENG-API,software,USD,"$1,250.00",approved,2026-03-04
TX1013,Northwind,engineering,ENG-API,hardware,USD,495.56,pending,2026-01-13
TX1014,Globex,marketing,MKT-PERF,services,EUR,532.69,rejected,2026-02-14
TX1015,Acme,operations,OPS-WARE,supplies,GBP,569.82,approved,2026-03-15
TX1016,Initech,research,RES-LABS,travel,AUD,606.95,approved,2026-04-16
TX1017,Umbra,engineering,ENG-WEB,software,USD,644.08,approved,2026-05-17
TX1018,Cardinal,marketing,MKT-PERF,hardware,EUR,681.21,approved,2026-06-18
TX1019,Northwind,operations,OPS-WARE,services,GBP,718.34,approved,2026-01-19
TX1020,Globex,research,RES-LABS,supplies,AUD,755.47,pending,2026-02-20
TX1021,Acme,engineering,ENG-DATA,travel,USD,792.6,rejected,2026-03-21
TX1022,Initech,marketing,MKT-PERF,software,EUR,829.73,approved,2026-04-22
TX1023,Umbra,operations,OPS-WARE,hardware,GBP,866.86,approved,2026-05-23
TX1024,Cardinal,research,RES-LABS,services,AUD,903.99,approved,2026-06-24
TX1025,Northwind,engineering,ENG-API,supplies,USD,941.12,approved,2026-01-25
TX1026,Globex,marketing,MKT-PERF,travel,EUR,978.25,approved,2026-02-26
TX1027,Acme,operations,OPS-WARE,software,GBP,1015.38,pending,2026-03-27
TX1028,Initech,research,RES-LABS,hardware,AUD,1052.51,rejected,2026-04-01
TX1029,Umbra,engineering,ENG-WEB,services,USD,1089.64,approved,2026-05-02
TX1030,Cardinal,marketing,MKT-PERF,supplies,EUR,1126.77,approved,2026-06-03
TX1031,Northwind,operations,OPS-WARE,travel,GBP,1163.9,approved,2026-01-04
TX1032,Globex,research,RES-LABS,software,AUD,1201.03,approved,2026-02-05
TX1033,Acme,engineering,ENG-DATA,hardware,USD,1238.16,approved,2026-03-06
TX1034,Initech,marketing,MKT-PERF,services,EUR,1275.29,pending,2026-04-07
TX1035,Umbra,operations,OPS-WARE,supplies,GBP,1312.42,rejected,2026-05-08
TX1036,Cardinal,research,RES-LABS,travel,AUD,1349.55,approved,2026-06-09
TX1037,Northwind,engineering,ENG-API,software,USD,1386.68,approved,2026-01-10
TX1038,Globex,marketing,MKT-PERF,hardware,EUR,1423.81,approved,2026-02-11
TX1039,Acme,operations,OPS-WARE,services,GBP,1460.94,approved,2026-03-12
TX1040,Initech,research,RES-LABS,supplies,AUD,1498.07,approved,2026-04-13
TX1041,Umbra,engineering,ENG-WEB,travel,USD,1535.2,pending,2026-05-14
TX1042,Cardinal,marketing,MKT-PERF,software,EUR,1572.33,rejected,2026-06-15
TX1043,Northwind,operations,OPS-WARE,hardware,GBP,1609.46,approved,2026-01-16
TX1044,Globex,research,RES-LABS,services,AUD,1646.59,approved,2026-02-17
TX9002,Acme,marketing,MKT-PERF,services,EUR,-300.00,approved,2026-02-11
TX1045,Acme,engineering,ENG-DATA,supplies,USD,1683.72,approved,2026-03-18
TX1046,Initech,marketing,MKT-PERF,travel,EUR,1720.85,approved,2026-04-19
TX1047,Umbra,operations,OPS-WARE,software,GBP,1757.98,approved,2026-05-20
TX1048,Cardinal,research,RES-LABS,hardware,AUD,1795.11,pending,2026-06-21
TX1049,Northwind,engineering,ENG-API,services,USD,1832.24,rejected,2026-01-22
TX1050,Globex,marketing,MKT-PERF,supplies,EUR,1869.37,approved,2026-02-23
TX1051,Acme,operations,OPS-WARE,travel,GBP,1906.5,approved,2026-03-24
TX1052,Initech,research,RES-LABS,software,AUD,1943.63,approved,2026-04-25
TX1053,Umbra,engineering,ENG-WEB,hardware,USD,1980.76,approved,2026-05-26
TX1054,Cardinal,marketing,MKT-PERF,services,EUR,2017.89,approved,2026-06-27
TX1055,Northwind,operations,OPS-WARE,supplies,GBP,2055.02,pending,2026-01-01
TX1056,Globex,research,RES-LABS,travel,AUD,2092.15,rejected,2026-02-02
TX1057,Acme,engineering,ENG-DATA,software,USD,2129.28,approved,2026-03-03
TX1058,Initech,marketing,MKT-PERF,hardware,EUR,2166.41,approved,2026-04-04
TX1059,Umbra,operations,OPS-WARE,services,GBP,2203.54,approved,2026-05-05
TX1060,Cardinal,research,RES-LABS,supplies,AUD,2240.67,approved,2026-06-06
TX1061,Northwind,engineering,ENG-API,travel,USD,2277.8,approved,2026-01-07
TX1062,Globex,marketing,MKT-PERF,software,EUR,2314.93,pending,2026-02-08
TX1063,Acme,operations,OPS-WARE,hardware,GBP,2352.06,rejected,2026-03-09
TX1064,Initech,research,RES-LABS,services,AUD,2389.19,approved,2026-04-10
TX1065,Umbra,engineering,ENG-WEB,supplies,USD,2426.32,approved,2026-05-11
TX1066,Cardinal,marketing,MKT-PERF,travel,EUR,2463.45,approved,2026-06-12
TX1067,Northwind,operations,OPS-WARE,software,GBP,2500.58,approved,2026-01-13
TX1068,Globex,research,RES-LABS,hardware,AUD,2537.71,approved,2026-02-14
TX1069,Acme,engineering,ENG-DATA,services,USD,2574.84,pending,2026-03-15
TX1070,Initech,marketing,MKT-PERF,supplies,EUR,2611.97,rejected,2026-04-16
TX1071,Umbra,operations,OPS-WARE,travel,GBP,2649.1,approved,2026-05-17
TX1072,Cardinal,research,RES-LABS,software,AUD,2686.23,approved,2026-06-18
TX1073,Northwind,engineering,ENG-API,hardware,USD,2723.36,approved,2026-01-19
TX1074,Globex,marketing,MKT-PERF,services,EUR,2760.49,approved,2026-02-20
TX1075,Acme,operations,OPS-WARE,supplies,GBP,2797.62,approved,2026-03-21
TX1076,Initech,research,RES-LABS,travel,AUD,2834.75,pending,2026-04-22
TX1077,Umbra,engineering,ENG-WEB,software,USD,2871.88,rejected,2026-05-23
TX1078,Cardinal,marketing,MKT-PERF,hardware,EUR,2909.01,approved,2026-06-24
TX1079,Northwind,operations,OPS-WARE,services,GBP,2946.14,approved,2026-01-25
TX1080,Globex,research,RES-LABS,supplies,AUD,2983.27,approved,2026-02-26
TX1081,Acme,engineering,ENG-DATA,travel,USD,3020.4,approved,2026-03-27
TX1082,Initech,marketing,MKT-PERF,software,EUR,3057.53,approved,2026-04-01
TX1083,Umbra,operations,OPS-WARE,hardware,GBP,3094.66,pending,2026-05-02
TX1084,Cardinal,research,RES-LABS,services,AUD,3131.79,rejected,2026-06-03
TX1085,Northwind,engineering,ENG-API,supplies,USD,3168.92,approved,2026-01-04
TX1086,Globex,marketing,MKT-PERF,travel,EUR,3206.05,approved,2026-02-05
TX9003,Northwind,operations,OPS-WARE,hardware,JPY,5000.00,approved,2026-01-19
TX1087,Acme,operations,OPS-WARE,software,GBP,3243.18,approved,2026-03-06
TX1088,Initech,research,RES-LABS,hardware,AUD,3280.31,approved,2026-04-07
TX1089,Umbra,engineering,ENG-WEB,services,USD,3317.44,approved,2026-05-08
TX1090,Cardinal,marketing,MKT-PERF,supplies,EUR,3354.57,pending,2026-06-09
TX1091,Northwind,operations,OPS-WARE,travel,GBP,3391.7,rejected,2026-01-10
TX1092,Globex,research,RES-LABS,software,AUD,3428.83,approved,2026-02-11
TX1093,Acme,engineering,ENG-DATA,hardware,USD,3465.96,approved,2026-03-12
TX1094,Initech,marketing,MKT-PERF,services,EUR,3503.09,approved,2026-04-13
TX1095,Umbra,operations,OPS-WARE,supplies,GBP,3540.22,approved,2026-05-14
TX1096,Cardinal,research,RES-LABS,travel,AUD,3577.35,approved,2026-06-15
TX1097,Northwind,engineering,ENG-API,software,USD,3614.48,pending,2026-01-16
TX1098,Globex,marketing,MKT-PERF,hardware,EUR,3651.61,rejected,2026-02-17
TX1099,Acme,operations,OPS-WARE,services,GBP,3688.74,approved,2026-03-18
TX1100,Initech,research,RES-LABS,supplies,AUD,3725.87,approved,2026-04-19
TX1101,Umbra,engineering,ENG-WEB,travel,USD,3763.0,approved,2026-05-20
TX1102,Cardinal,marketing,MKT-PERF,software,EUR,3800.13,approved,2026-06-21
TX1103,Northwind,operations,OPS-WARE,hardware,GBP,3837.26,approved,2026-01-22
TX1104,Globex,research,RES-LABS,services,AUD,3874.39,pending,2026-02-23
TX1105,Acme,engineering,ENG-DATA,supplies,USD,3911.52,rejected,2026-03-24
TX1106,Initech,marketing,MKT-PERF,travel,EUR,3948.65,approved,2026-04-25
TX1107,Umbra,operations,OPS-WARE,software,GBP,3985.78,approved,2026-05-26
TX1108,Cardinal,research,RES-LABS,hardware,AUD,4022.91,approved,2026-06-27
TX1109,Northwind,engineering,ENG-API,services,USD,4060.04,approved,2026-01-01
TX1110,Globex,marketing,MKT-PERF,supplies,EUR,4097.17,approved,2026-02-02
TX1111,Acme,operations,OPS-WARE,travel,GBP,4134.3,pending,2026-03-03
TX1112,Initech,research,RES-LABS,software,AUD,4171.43,rejected,2026-04-04
TX1113,Umbra,engineering,ENG-WEB,hardware,USD,4208.56,approved,2026-05-05
TX1114,Cardinal,marketing,MKT-PERF,services,EUR,4245.69,approved,2026-06-06
TX1115,Northwind,operations,OPS-WARE,supplies,GBP,4282.82,approved,2026-01-07
TX1116,Globex,research,RES-LABS,travel,AUD,4319.95,approved,2026-02-08
TX1117,Acme,engineering,ENG-DATA,software,USD,4357.08,approved,2026-03-09
TX1118,Initech,marketing,MKT-PERF,hardware,EUR,4394.21,pending,2026-04-10
TX1119,Umbra,operations,OPS-WARE,services,GBP,4431.34,rejected,2026-05-11
TX1120,Cardinal,research,RES-LABS,supplies,AUD,4468.47,approved,2026-06-12
TX1121,Northwind,engineering,ENG-API,travel,USD,4505.6,approved,2026-01-13
TX1122,Globex,marketing,MKT-PERF,software,EUR,4542.73,approved,2026-02-14
TX1123,Acme,operations,OPS-WARE,hardware,GBP,4579.86,approved,2026-03-15
TX1124,Initech,research,RES-LABS,services,AUD,4616.99,approved,2026-04-16
TX1125,Umbra,engineering,ENG-WEB,supplies,USD,4654.12,pending,2026-05-17
TX1126,Cardinal,marketing,MKT-PERF,travel,EUR,4691.25,rejected,2026-06-18
TX1127,Northwind,operations,OPS-WARE,software,GBP,4728.38,approved,2026-01-19
